Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period,Footnotes
Table 1,Counts of businesses - Maori authorities,By industry group,Agriculture,Maori authorities,Counts,210,2020,1 and 2
Table 1,Counts of businesses - Maori authorities,By industry group,Agriculture,Maori authorities,Counts,210,2021,1 and 2
Table 1,Counts of businesses - Maori authorities,By industry group,Other primary industries,Maori authorities,Counts,81,2020,1 and 2
Table 1,Counts of businesses - Maori authorities,By industry group,Other primary industries,Maori authorities,Counts,84,2021,1 and 2
Table 1,Counts of businesses - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,387,2020,1 and 2
Table 1,Counts of businesses - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,381,2021,1 and 2
Table 1,Counts of businesses - Maori authorities,By industry group,All other industries,Maori authorities,Counts,540,2020,1 and 2
Table 1,Counts of businesses - Maori authorities,By industry group,All other industries,Maori authorities,Counts,549,2021,1 and 2
Table 1,Counts of businesses - Maori authorities,By industry group,Total,Maori authorities,Counts,1215,2020,1 and 2
Table 1,Counts of businesses - Maori authorities,By industry group,Total,Maori authorities,Counts,1227,2021,1 and 2
Table 2,Counts of employees - Maori authorities,By industry group,Agriculture,Maori authorities,Counts,1750,2020,1 and 2
Table 2,Counts of employees - Maori authorities,By industry group,Agriculture,Maori authorities,Counts,1700,2021,1 and 2
Table 2,Counts of employees - Maori authorities,By industry group,Other primary industries,Maori authorities,Counts,1350,2020,1 and 2
Table 2,Counts of employees - Maori authorities,By industry group,Other primary industries,Maori authorities,Counts,1200,2021,1 and 2
Table 2,Counts of employees - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,280,2020,1 and 2
Table 2,Counts of employees - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,380,2021,1 and 2
Table 2,Counts of employees - Maori authorities,By industry group,All other industries,Maori authorities,Counts,7800,2020,1 and 2
Table 2,Counts of employees - Maori authorities,By industry group,All other industries,Maori authorities,Counts,7800,2021,1 and 2
Table 2,Counts of employees - Maori authorities,By industry group,Total,Maori authorities,Counts,11200,2020,1 and 2
Table 2,Counts of employees - Maori authorities,By industry group,Total,Maori authorities,Counts,11100,2021,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Agriculture, forestry, and fishing",Other Maori enterprises,Counts,87,2020,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Agriculture, forestry, and fishing",Other Maori enterprises,Counts,87,2021,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Mining,Other Maori enterprises,Counts,3,2020,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Mining,Other Maori enterprises,Counts,3,2021,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Manufacturing,Other Maori enterprises,Counts,66,2020,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Manufacturing,Other Maori enterprises,Counts,69,2021,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Electricity, gas, water, and waste services",Other Maori enterprises,Counts,6,2020,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Electricity, gas, water, and waste services",Other Maori enterprises,Counts,6,2021,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Construction,Other Maori enterprises,Counts,78,2020,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Construction,Other Maori enterprises,Counts,84,2021,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Wholesale trade,Other Maori enterprises,Counts,33,2020,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Wholesale trade,Other Maori enterprises,Counts,33,2021,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Retail trade,Other Maori enterprises,Counts,21,2020,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Retail trade,Other Maori enterprises,Counts,24,2021,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Accommodation and food services,Other Maori enterprises,Counts,27,2020,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Accommodation and food services,Other Maori enterprises,Counts,27,2021,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Other Maori enterprises,Counts,33,2020,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Other Maori enterprises,Counts,36,2021,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Information media and telecommunications,Other Maori enterprises,Counts,30,2020,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Information media and telecommunications,Other Maori enterprises,Counts,30,2021,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Financial and insurance services,Other Maori enterprises,Counts,9,2020,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Financial and insurance services,Other Maori enterprises,Counts,12,2021,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Rental, hiring, and real estate services",Other Maori enterprises,Counts,21,2020,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Rental, hiring, and real estate services",Other Maori enterprises,Counts,18,2021,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Professional, scientific, and technical services",Other Maori enterprises,Counts,108,2020,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Professional, scientific, and technical services",Other Maori enterprises,Counts,114,2021,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Administrative and support services,Other Maori enterprises,Counts,57,2020,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Administrative and support services,Other Maori enterprises,Counts,60,2021,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Public administration and safety,Other Maori enterprises,Counts,6,2020,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Public administration and safety,Other Maori enterprises,Counts,6,2021,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Education and training,Other Maori enterprises,Counts,30,2020,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Education and training,Other Maori enterprises,Counts,30,2021,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Health care and social assistance,Other Maori enterprises,Counts,33,2020,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Health care and social assistance,Other Maori enterprises,Counts,39,2021,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Arts and recreational services,Other Maori enterprises,Counts,51,2020,1 and 2
